"SRP_occurrenceID","SRP_accession","SRP_imageURL","matchMethod","scientificName_SRP","family","collectorNumber","eventDate_SRP","collector","otherCollectors","country","stateProvince","county","locality","decimalLatitude","decimalLongitude","phenology","FotW_occurrenceID","scientificName_FotW","FotW_eventDate","FotW_recordNumber","FotW_recordedBy"
3523575,"75379","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075379.jpg","exact","Enceliopsis nudicaulis","Asteraceae","14128","2021-05-15","C. Davidson","S. Buerki","U.S.A.","Idaho","Owyhee","Junction of Bruneau Dunes Rd. and rd. to the Dunes observatory parking and north Dunes lake.","115° 41\' 33.4"" W""","42.904333",NA,"23bbbc7c-722e-37ee-ac83-fcdcefe2b505","Enceliopsis nudicaulis","2021-05-15","Davidson, C 14128","S. Buerki"
3523576,"75380","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075380.jpg","exact","Ericameria greenei","Asteraceae","14212","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop ca. 34.7 km E of Frenchglen, 8.8 km SSE of Fish Lake Rd.","118° 34\' 53.1"" W""","42.70075",NA,"64b82050-81c0-3503-9399-9db55f23a387","Ericameria greenei","2021-07-22","Davidson, C 14212","R. Gereau"
3523584,"75388","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075388.jpg","exact","Erigeron glacialis","Asteraceae","14249","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop. ca. 20.6 km E of bridge at Donner and Blitzen River. Headwaters of Little Blitzen Riv.","118° 35\' 5.5"" W""","42.667889",NA,"9872c4b1-e713-3115-920f-febda8b3aaac","Erigeron glacialis","2021-07-23","Davidson 14249","R. Gereau"
3523729,"75410","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075410.jpg","num_only_unique_date","Agoseris glauca","Asteraceae","14185","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop. ca. 25 km E of Frenchglen and 1.2 km W of Fish Lake Rod.","118° 39\' 16.1"" W""","42.747417",NA,"b2d80bf7-29ee-36f4-992f-3cab2057f90d","Agoseris glauca","2021-07-24","Davidson 14185","R. Gereau"
3523744,"75425","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075425.jpg","exact","Artemisia ludoviciana ssp. incompta","Asteraceae","14203","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R.Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop ca. 30.5 km E of Frenchglen; 4.7 km SSE of Fish Lake Rd.","118° 36\' 53.5"" W""","42.711472",NA,"bf9c2f5a-9c0b-3ceb-8cef-b0971a0ecde9","Artemisia ludoviciana","2021-07-22","Davidson 14203","R. Gereau"
3523764,"75445","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075445.jpg","exact","Bistorta bistortoides","Polygonaceae","14243","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop c. 20.6 km E of bridge at Donner and Blitzen River. Headwaters of Little Blitzen Riv.","118° 35\' 5.5"" W""","42.667789",NA,"e70d4789-9b34-321c-b33e-d75832263afb","Bistorta bistortoides","2021-07-23","Davidson, C 14243","R. Gereau"
3523769,"75450","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075450.jpg","exact","Eriogonum caespitosum","Polygonaceae","14136","2021-06-01","C. Davidson","S. R. Christoph","U.S.A.","Idaho","Blaine","TNC Rock Creek Preserve, Rock Creek Rd., ca. 4.2 km N of highway 20. Slopes above and around Rock Cr.","114° 23\' 47.5"" W""","43.365917",NA,"3f73d772-db35-3d00-bfe5-cb4ed555e5cf","Eriogonum caespitosum","2021-06-01","C. Davidson 14136","S. R. Christoph"
3523775,"75456","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075456.jpg","exact","Eriogonum ovalifolium var. nivale","Polygonaceae","14210","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop ca. 34.7 km E of Frenchglen, 8.8 km SSE of Fish Lake Rd.","118° 34\' 53.1"" W""","42.70075",NA,"0407d7e6-9981-3333-a3fe-57889681e7c1","Eriogonum ovalifolium","2021-07-22","Davidson 14210","R. Gereau"
3523776,"75457","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075457.jpg","exact","Eriogonum thymoides","Polygonaceae","14133","2021-06-01","C. Davidson","S. R. Christoph","U.S.A.","Idaho","Blaine","TNC Rock Creek Preserve. Rock Creek Rd., ca. 4.2 km N of hwy 20.","114° 23\' 47.5"" W""","43.365917",NA,"3f5b63e1-8861-3e9b-a1ea-46ae26392d6a","Eriogonum thymoides","2021-06-01","C. Davidson 14133","S. R. Christoph"
3523777,"75458","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075458.jpg","exact","Eriogonum umbellatum","Polygonaceae","14211","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop ca. 34.7 km E of Frenchglen, 8.8 km SSE of Fish Lake Rd.","118° 34\' 53.1"" W""","42.70075",NA,"9f256557-61c0-3e38-9e43-dc1e8e5a3ad4","Eriogonum umbellatum","2021-07-22","Davidson 14211","R. Gereau"
