gbifID,gbifURL,FotW_occurrenceID,occurrenceID,institutionCode,ownerInstitutionCode,catalogNumber,basisOfRecord,bibliographicCitation,acceptedScientificName,family,taxonRank,taxonomicStatus,iucnRedListCategory,recordedBy,recordNumber,eventDate,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,elevation,mediaType,license,rightsHolder,specimenImageURL,hasImage
4061125697,https://www.gbif.org/occurrence/4061125697,f665cf5b-0f1e-3a38-9685-2be5403a426b,urn:catalog:MO:Tropicos:100964685,No_institution,MOBOT,100964685,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/100964685,Arytera Blume,Sapindaceae,GENUS,ACCEPTED,NE,Jérôme Munzinger;Porter P. Lowry II;Martin W. Callmander;David Bruy;Bruce Gray;Daniel Letocart;Irène Letocart;B. Besse;P. Mercier;Christopher Davidson;Sharon R. Christoph,7404,2015-11-11,NC,,"Hauts de Robinson, propriété Lavoix.",-22.186231,166.52375,,StillImage,CC_BY_4_0,Missouri Botanical Garden,,Y
1258194902,https://www.gbif.org/occurrence/1258194902,861d59e6-3a1d-3793-8919-2aef0f67a755,urn:catalog:MO:Tropicos:100880221,L,MOBOT,100880221,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/100880221,"Lepidocupania globosa (Adema) Buerki, Callm., Munzinger & Lowry",Sapindaceae,SPECIES,ACCEPTED,NE,Porter P. Lowry II;Christopher Davidson;Sharon R. Christoph,7404,2015-11-19,NC,Province du Nord,"Avangui, adjacent to Creek Hervouet, Johnston property. Remnant mesophyllous forest on black clay.",-21.320972,165.075583,35,,CC_BY_4_0,Missouri Botanical Garden,,N
4031766219,https://www.gbif.org/occurrence/4031766219,861d59e6-3a1d-3793-8919-2aef0f67a755,urn:catalog:MO:Tropicos:102945558,MO,MOBOT,102945558,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/102945558,"Lepidocupania globosa (Adema) Buerki, Callm., Munzinger & Lowry",Sapindaceae,SPECIES,ACCEPTED,NE,Porter P. Lowry II;Christopher Davidson;Sharon R. Christoph,7404,2015-11-19,NC,Province du Nord,"Avangui, adjacent to Creek Hervouet, Johnston property. Remnant mesophyllous forest on black clay.",-21.320972,165.075583,35,,CC_BY_4_0,Missouri Botanical Garden,,N
4061208203,https://www.gbif.org/occurrence/4061208203,861d59e6-3a1d-3793-8919-2aef0f67a755,urn:catalog:MO:Tropicos:102945556,MPU,MOBOT,102945556,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/102945556,"Lepidocupania globosa (Adema) Buerki, Callm., Munzinger & Lowry",Sapindaceae,SPECIES,ACCEPTED,NE,Porter P. Lowry II;Christopher Davidson;Sharon R. Christoph,7404,2015-11-19,NC,Province du Nord,"Avangui, adjacent to Creek Hervouet, Johnston property. Remnant mesophyllous forest on black clay.",-21.320972,165.075583,35,,CC_BY_4_0,Missouri Botanical Garden,,N
4061980938,https://www.gbif.org/occurrence/4061980938,861d59e6-3a1d-3793-8919-2aef0f67a755,urn:catalog:MO:Tropicos:102945557,NOU,MOBOT,102945557,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/102945557,"Lepidocupania globosa (Adema) Buerki, Callm., Munzinger & Lowry",Sapindaceae,SPECIES,ACCEPTED,NE,Porter P. Lowry II;Christopher Davidson;Sharon R. Christoph,7404,2015-11-19,NC,Province du Nord,"Avangui, adjacent to Creek Hervouet, Johnston property. Remnant mesophyllous forest on black clay.",-21.320972,165.075583,35,,CC_BY_4_0,Missouri Botanical Garden,,N
4061813293,https://www.gbif.org/occurrence/4061813293,861d59e6-3a1d-3793-8919-2aef0f67a755,urn:catalog:MO:Tropicos:102945555,P,MOBOT,102945555,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/102945555,"Lepidocupania globosa (Adema) Buerki, Callm., Munzinger & Lowry",Sapindaceae,SPECIES,ACCEPTED,NE,Porter P. Lowry II;Christopher Davidson;Sharon R. Christoph,7404,2015-11-19,NC,Province du Nord,"Avangui, adjacent to Creek Hervouet, Johnston property. Remnant mesophyllous forest on black clay.",-21.320972,165.075583,35,,CC_BY_4_0,Missouri Botanical Garden,,N
4061720712,https://www.gbif.org/occurrence/4061720712,87f79bf2-9afa-36a4-9532-88eed3c3aa49,urn:catalog:MO:Tropicos:100964686,No_institution,MOBOT,100964686,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/100964686,Guioa Cav.,Sapindaceae,GENUS,ACCEPTED,NE,Jérôme Munzinger;Porter P. Lowry II;Martin W. Callmander;David Bruy;Bruce Gray;Daniel Letocart;Irène Letocart;B. Besse;P. Mercier;Christopher Davidson;Sharon R. Christoph,7405,2015-11-11,NC,,"Hauts de Robinson, propriété Lavoix.",-22.205458,166.517483,,,CC_BY_4_0,Missouri Botanical Garden,,N
4061111824,https://www.gbif.org/occurrence/4061111824,b1fe7fc3-4218-393d-9346-61346d79c6c7,urn:catalog:MO:Tropicos:100964687,No_institution,MOBOT,100964687,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/100964687,Cupaniopsis Radlk.,Sapindaceae,GENUS,ACCEPTED,NE,Jérôme Munzinger;Porter P. Lowry II;Martin W. Callmander;David Bruy;Bruce Gray;Daniel Letocart;Irène Letocart;B. Besse;P. Mercier;Christopher Davidson;Sharon R. Christoph,7406,2015-11-11,NC,,"Hauts de Robinson, propriété Lavoix.",-22.190753,166.520217,,StillImage,CC_BY_4_0,Missouri Botanical Garden,,Y
1258194884,https://www.gbif.org/occurrence/1258194884,b60ccc7a-af6b-3983-a6d6-c7a031fb355b,urn:catalog:MO:Tropicos:100880224,MO,MOBOT,100880224,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/100880224,Meryta denhamii Seem.,Araliaceae,SPECIES,ACCEPTED,NE,Porter P. Lowry II;Christopher Davidson;Sharon R. Christoph,7406,2015-11-19,NC,Province du Nord,"Avangui, adjacent to Creek Hervouet, Johnston property. Remnant mesophyllous forest on black clay.",-21.320972,165.075583,35,,CC_BY_4_0,Missouri Botanical Garden,,N
4061770042,https://www.gbif.org/occurrence/4061770042,278e9fbd-be87-3aac-8cb9-b2671b42e81e,urn:catalog:MO:Tropicos:102993979,P,MOBOT,102993979,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/102993979,Endiandra baillonii (Pancher & Sebert) Guillaumin,Lauraceae,SPECIES,ACCEPTED,NE,Jérôme Munzinger;Porter P. Lowry II;Martin W. Callmander;David Bruy;Bruce Gray;Irène Letocart;Christopher Davidson;Sharon R. Christoph,7407,2015-11-12,NC,,"Piste des Dzumacs, la patte d'oie.",-22.030542,166.467661,,StillImage,CC_BY_4_0,Missouri Botanical Garden,,Y
4031776036,https://www.gbif.org/occurrence/4031776036,278e9fbd-be87-3aac-8cb9-b2671b42e81e,urn:catalog:MO:Tropicos:102993982,MO,MOBOT,102993982,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/102993982,Endiandra baillonii (Pancher & Sebert) Guillaumin,Lauraceae,SPECIES,ACCEPTED,NE,Jérôme Munzinger;Porter P. Lowry II;Martin W. Callmander;David Bruy;Bruce Gray;Irène Letocart;Christopher Davidson;Sharon R. Christoph,7407,2015-11-12,NC,,"Piste des Dzumacs, la patte d'oie.",-22.030542,166.467661,,StillImage,CC_BY_4_0,Missouri Botanical Garden,,Y
4061277018,https://www.gbif.org/occurrence/4061277018,278e9fbd-be87-3aac-8cb9-b2671b42e81e,urn:catalog:MO:Tropicos:102993980,MPU,MOBOT,102993980,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/102993980,Endiandra baillonii (Pancher & Sebert) Guillaumin,Lauraceae,SPECIES,ACCEPTED,NE,Jérôme Munzinger;Porter P. Lowry II;Martin W. Callmander;David Bruy;Bruce Gray;Irène Letocart;Christopher Davidson;Sharon R. Christoph,7407,2015-11-12,NC,,"Piste des Dzumacs, la patte d'oie.",-22.030542,166.467661,,StillImage,CC_BY_4_0,Missouri Botanical Garden,,Y
2268865361,https://www.gbif.org/occurrence/2268865361,278e9fbd-be87-3aac-8cb9-b2671b42e81e,urn:catalog:MO:Tropicos:100964688,MIN,MOBOT,100964688,PRESERVED_SPECIMEN,http://www.tropicos.org/Specimen/100964688,Endiandra baillonii (Pancher & Sebert) Guillaumin,Lauraceae,SPECIES,ACCEPTED,NE,Jérôme Munzinger;Porter P. Lowry II;Martin W. Callmander;David Bruy;Bruce Gray;Irène Letocart;Christopher Davidson;Sharon R. Christoph,7407,2015-11-12,NC,,"Piste des Dzumacs, la patte d'oie.",-22.030542,166.467661,,StillImage,CC_BY_4_0,Missouri Botanical Garden,,Y
