"SRP_occurrenceID","SRP_accession","SRP_imageURL","scientificName_SRP","family","collectorNumber","eventDate_SRP","collector","otherCollectors","country","stateProvince","county","locality","decimalLatitude","decimalLongitude","phenology","note"
3517577,"76419","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP076419.jpg","Abies lasiocarpa","Pinaceae","14181","2021-06-28","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Benewah","19 km E on St. Joe River Rd. to Reeds Gulch Rd (FR 550) then 17 km on FR 550 to the top of Baldy Mtn.","116° 24\' 40.9"" W""","47.363722",NA,"collector_number_not_in_FotW_DB"
3517580,"75369","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075369.jpg","Cirsium cymosum var. canovirens","Asteraceae","14229","2021-07-23","C. Davidson","C.M. Taylor, R. Gereau, S.R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop c. 6 km E of bridge at Donner and Blitzen.","118° 42\' 40.3"" W""","42.666944",NA,"collector_number_not_in_FotW_DB"
3517582,"75371","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075371.jpg","Cirsium eatonii var. peckii","Asteraceae","14214","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop ca. 25 km E of Frenchglen; across from Fish Lake rd. Pate Lake.","118° 38\' 18"" W""","42.738583",NA,"collector_number_not_in_FotW_DB"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
3523586,"75391","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075391.jpg","Erigeron pumilus","Asteraceae","14146","2021-06-15","C. Davidson","S. R. Christoph","U.S.A.","Idaho","Boise","10.7 km NW of Idaho City on Centerville/Placerville Rd.","115° 54\' 20.9"" W""","43.878889",NA,"collector_number_not_in_FotW_DB"
3523740,"75421","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075421.jpg","Arnica mollis","Asteraceae","14209","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop ca. 31 km E of Frenchglen; 5.1 km SSE of Fish Lake Rd.","118° 36\' 46.6"" W""","42.708556",NA,"collector_number_not_in_FotW_DB"
3523796,"75477","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075477.jpg","Rumex crispus","Polygonaceae","14227","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn Loop ca. 6 km E of bridge at Donner and Blitzen River. N side of road.","118° 42\' 40.3"" W""","42.666944",NA,"collector_number_not_in_FotW_DB"
3523805,"75486","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075486.jpg","Corallorhiza maculata","Orchidaceae","14149","2021-06-15","C. Davidson","S. R. Christoph","U.S.A.","Idaho","Boise","[Locality and coordinates withheld]",NA,NA,NA,"collector_number_not_in_FotW_DB"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
3523813,"75494","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075494.jpg","Platanthera stricta","Orchidaceae","14160","2021-06-21","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Boise","[Locality and coordinates withheld]",NA,NA,NA,"collector_number_not_in_FotW_DB"
3524219,"75309","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075309.jpg","Senecio serra","Asteraceae","14220","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn Loop. Ca. 27 km E of hwy 205 unction; bridge at Donner and Blitzen River.","118° 45\' 51.8"" W""","42.638306",NA,"collector_number_not_in_FotW_DB"
3524220,"75310","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075310.jpg","Senecio serra","Asteraceae","14220","2021-07-23","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn Loop. Ca. 27 km E of hwy 205 unction; bridge at Donner and Blitzen River.","118° 45\' 51.8"" W""","42.638306",NA,"collector_number_not_in_FotW_DB"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
3530217,"75341","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075341.jpg","Madia glomerata","Asteraceae","14255","2021-07-24","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop, ca. 3.6 km S of Fish Lake Rd; then E on jeep track to a streamlet.","118° 36\' 58.6"" W""","42.716694",NA,"collector_number_not_in_FotW_DB"
3530224,"75348","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075348.jpg","Ionactis stenomeres","Asteraceae","14165","2021-06-24","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Valley","N of hwy 55 jct with Warren Wagon Rd; oin WWRd 2 km north of Burgdorf junction.","115° 52\' 15.6"" W""","45.260889",NA,"collector_number_not_in_FotW_DB"
3530236,"75360","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075360.jpg","Hieracium scouleri","Asteraceae","14175","2021-06-28","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Shoshone","Along Merry Creek Rd. (FSRd 321). Short dogleg side road to Merry Cr., past a locked gate.","116° 10\' 5"" W""","47.070833",NA,"collector_number_not_in_FotW_DB"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
3530274,"75835","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075835.jpg","Vaccinium cespitosum","Ericaceae","14148","2021-06-15","C. Davidson","S. R. Christoph","U.S.A.","Idaho","Boise","NW of Idaho City 2.2 km W of Harris Cr. Rd. junction with /centerville/Placerville Rd. Private area on Nelsen Rd.","115° 58\' 32.6"" W""","43.916167",NA,"collector_number_not_in_FotW_DB"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
3530280,"75841","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075841.jpg","Ribes montigenum","Grossulariaceae","14166","2021-06-26","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Adams","Peak of Brundage Mtn.Trails north of the ski lift terminus.","115° 52\' 15.6"" W""","45.260889",NA,"collector_number_not_in_FotW_DB"
3530292,"75853","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075853.jpg","Cardamine breweri","Brassicaceae","14159","2021-06-21","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Boise","Along highway 21. FSR 316 west from Mores Creek summit.","115° 39\' 32.5"" W""","43.922444",NA,"collector_number_not_in_FotW_DB"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
3530329,"75890","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075890.jpg","Micranthes odontoloma","Saxifragaceae","14207","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop c. 30.5 km E of Frenchglen; & 4.7 km S of Fish Lake rd.","118° 36\' 53.5"" W""","42.711472",NA,"collector_number_not_in_FotW_DB"
3530330,"75891","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075891.jpg","Micranthes odontoloma","Saxifragaceae","14161","2021-06-21","C. Davidson","S. R. Christoph, W. D. Stevens, O. M. Montiel","U.S.A.","Idaho","Boise","Along highway 21. FSR 316 west from Mores Creek summit.","115° 39\' 32.5"" W""","43.922444",NA,"collector_number_not_in_FotW_DB"
3530333,"75894","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075894.jpg","Heuchera grossulariifolia","Saxifragaceae","14142","2021-06-15","C. Davidson","S. R. Christoph","U.S.A.","Idaho","Boise","3 km NW of Idaho City on Centerville/Placerville Rd.","115° 51\' 33.6"" W""","43.848444",NA,"collector_number_not_in_FotW_DB"
NA,NA,"https://www.pnwherbaria.org/images/jpeg.php?Image=SRP    NA.jpg",NA,NA,NA,"NA-NA-NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"collector_number_not_in_FotW_DB"
3530335,"75896","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075896.jpg","Potentilla gracilis","Rosaceae","14192","2021-07-22","C. Davidson","C. M. Taylor, R. Gereau, S. R. Christoph","U.S.A.","Oregon","Harney","N Steens Mtn. Loop c. 25.8 km E of Frenchglen; & 0.4 km W of Fish Lake rd. SW of road.","118° 38\' 47.3"" W""","42.743111",NA,"collector_number_not_in_FotW_DB"
3530399,"75901","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075901.jpg","Physocarpus malvaceus","Rosaceae","14150","2021-06-15","C. Davidson","S.R. Christoph","U.S.A.","Idaho","Boise","NW of Idaho City. 5.6km W of Harris Cr. Rd. junction with Centerville/Placerville Rd.","116° 1\' 0.4"" W""","43.894306",NA,"collector_number_not_in_FotW_DB"
3530402,"75904","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075904.jpg","Prunus virginiana","Rosaceae","14219","2021-07-23","C. Davidson","C.M Taylor, R. Gereau, S.R. Christoph","U.S.A.","Oregon","Harney","S Steens Mtn. Loop c. 27 km E of Hwy 205 junction; bridge at Donner and Blitzen River.","118° 45\' 51.8"" W""","42.638306",NA,"collector_number_not_in_FotW_DB"
3530471,"75910","https://www.pnwherbaria.org/images/jpeg.php?Image=SRP075910.jpg","Rosa woodsii","Rosaceae","14141","2021-06-15","C. Davidson","S. R. Christoph","U.S.A.","Idaho","Boise","Along hwy 21, 40 km S of Idaho City. Basalt canyon along Mores Cr.","115° 58\' 41.8"" W""","43.664556",NA,"collector_number_not_in_FotW_DB"
